YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2006.00,5.00000,19.0000,0.00000,5.20760e+17,5.21078e+15,6.32000,9.14600,0.00000
2006.00,6.00000,13.0000,0.00000,6.09728e+17,3.33823e+16,9.60000,10.2810,0.00000
2006.00,7.00000,5.00000,0.00000,5.87874e+17,3.22280e+15,6.76000,8.49500,0.00000
2006.00,8.00000,10.0000,0.00000,6.38721e+17,1.08213e+16,9.04000,9.78700,0.00000
2006.00,9.00000,30.0000,0.00000,6.32368e+17,4.14438e+15,10.2600,11.5500,0.00000
2006.00,10.0000,6.00000,0.00000,6.09593e+17,7.50689e+15,9.32000,10.0450,0.00000
2007.00,1.00000,15.0000,12.0000,3.77357e+17,1.09878e+16,7.78000,9.71700,0.00000
2007.00,4.00000,17.0000,12.0000,4.78603e+17,2.02340e+16,6.56000,7.57300,0.00000
2007.00,5.00000,18.0000,12.0000,5.80735e+17,6.82008e+15,7.82000,9.09200,0.00000
2007.00,6.00000,20.0000,12.0000,5.58679e+17,1.13043e+16,5.32000,10.3260,0.00000
2007.00,7.00000,6.00000,12.0000,7.22581e+17,9.27278e+15,9.40000,10.9930,0.00000
2007.00,7.00000,11.0000,12.0000,6.24977e+17,2.58544e+15,7.96000,10.6310,0.00000
2007.00,7.00000,27.0000,12.0000,6.65557e+17,9.14189e+15,8.26000,10.4990,0.00000
2007.00,8.00000,11.0000,0.00000,5.71932e+17,7.47334e+15,9.46000,11.3860,0.00000
2007.00,12.0000,11.0000,12.0000,6.94056e+17,1.59159e+16,8.54000,9.25600,0.00000
2008.00,3.00000,14.0000,0.00000,4.16501e+17,1.37070e+16,7.12000,8.47700,0.00000
2008.00,6.00000,4.00000,0.00000,6.04014e+17,1.83829e+16,7.00000,9.44500,0.00000
2008.00,6.00000,11.0000,0.00000,6.22089e+17,1.53936e+16,8.56000,9.58900,0.00000
2008.00,7.00000,3.00000,0.00000,6.17338e+17,1.14795e+16,9.42000,10.1030,0.00000
2008.00,8.00000,21.0000,0.00000,5.74587e+17,6.14869e+15,8.08000,8.90400,0.00000
2008.00,9.00000,13.0000,0.00000,5.76552e+17,1.42143e+16,9.14000,9.71500,0.00000
2008.00,10.0000,9.00000,0.00000,5.87660e+17,2.53611e+16,9.26000,9.76800,0.00000
2008.00,10.0000,22.0000,0.00000,3.83126e+17,1.20535e+16,5.52000,9.33200,0.00000
2009.00,2.00000,11.0000,0.00000,4.02853e+17,7.71852e+15,5.82000,8.72700,0.00000
2009.00,3.00000,11.0000,0.00000,3.44898e+17,3.71111e+15,5.02000,8.15300,0.00000
2009.00,7.00000,1.00000,0.00000,7.76432e+17,4.23662e+16,8.02000,9.68500,0.00000
2009.00,9.00000,23.0000,0.00000,5.61031e+17,1.54092e+16,7.62000,10.0640,0.00000
2009.00,10.0000,7.00000,0.00000,5.26738e+17,1.13833e+16,8.56000,10.0010,0.00000
2009.00,11.0000,21.0000,12.0000,4.65887e+17,2.64898e+16,4.14000,9.25400,0.00000
2010.00,1.00000,14.0000,12.0000,4.26214e+17,1.28511e+16,4.52000,10.9870,0.00000
2010.00,3.00000,19.0000,12.0000,4.27310e+17,6.90871e+15,4.86000,10.3270,0.00000
2010.00,5.00000,15.0000,12.0000,6.06005e+17,7.92064e+15,6.02000,10.5090,0.00000
2010.00,9.00000,18.0000,0.00000,6.54527e+17,4.13023e+15,8.98000,10.9940,0.00000
2010.00,9.00000,23.0000,12.0000,6.51540e+17,3.38599e+16,9.98000,10.7370,0.00000
2010.00,12.0000,10.0000,12.0000,5.51033e+17,4.75222e+16,7.88000,9.12200,0.00000
2011.00,1.00000,5.00000,12.0000,4.56121e+17,6.53430e+15,8.64000,10.3310,0.00000
2011.00,1.00000,12.0000,12.0000,4.15755e+17,1.90590e+16,8.54000,9.34200,0.00000
2011.00,1.00000,19.0000,12.0000,4.50890e+17,7.89525e+15,4.88000,10.7110,0.00000
2011.00,1.00000,28.0000,12.0000,4.26044e+17,5.53890e+15,5.52000,8.83200,0.00000
2011.00,2.00000,16.0000,12.0000,3.77388e+17,1.63789e+16,7.82000,8.57500,0.00000
2011.00,2.00000,25.0000,12.0000,3.83123e+17,5.11477e+15,4.84000,8.69200,0.00000
2011.00,3.00000,4.00000,12.0000,3.49037e+17,1.04745e+16,6.58000,8.59100,0.00000
2011.00,3.00000,9.00000,12.0000,4.10213e+17,3.80714e+16,7.40000,8.49900,0.00000
2011.00,4.00000,13.0000,12.0000,5.21134e+17,7.11366e+15,4.60000,10.4960,0.00000
2011.00,6.00000,29.0000,12.0000,6.81457e+17,2.62961e+16,7.94000,10.0070,0.00000
2011.00,7.00000,20.0000,12.0000,7.10672e+17,2.72336e+16,9.02000,10.2160,0.00000
2011.00,11.0000,2.00000,12.0000,4.93374e+17,4.91937e+15,6.58000,8.96300,0.00000
2011.00,11.0000,10.0000,12.0000,5.89040e+17,2.11197e+16,9.38000,10.0640,0.00000
2011.00,11.0000,16.0000,12.0000,5.84207e+17,5.16924e+15,7.98000,9.61100,0.00000
2011.00,11.0000,30.0000,12.0000,4.00464e+17,8.92133e+15,8.20000,8.89000,0.00000
2011.00,12.0000,7.00000,12.0000,4.28090e+17,1.41770e+16,8.18000,9.28800,0.00000
2011.00,12.0000,22.0000,12.0000,3.49946e+17,8.77988e+15,7.80000,8.39000,0.00000
2012.00,1.00000,18.0000,12.0000,3.62043e+17,6.11023e+15,7.24000,10.1080,0.00000
2012.00,1.00000,25.0000,12.0000,3.24818e+17,4.76533e+15,7.14000,9.12200,0.00000
2012.00,2.00000,15.0000,12.0000,3.74438e+17,1.29035e+16,5.30000,7.33900,0.00000
2012.00,2.00000,22.0000,12.0000,3.71469e+17,8.78179e+15,4.94000,10.0070,0.00000
2012.00,3.00000,1.00000,12.0000,3.52033e+17,6.92279e+15,5.06000,8.20300,0.00000
2012.00,3.00000,21.0000,12.0000,4.25882e+17,7.21244e+15,5.74000,8.95300,0.00000
2012.00,4.00000,12.0000,12.0000,5.19724e+17,2.16387e+16,4.78000,9.67700,0.00000
2012.00,5.00000,4.00000,12.0000,4.35607e+17,5.27371e+15,5.56000,6.91600,0.00000
2012.00,5.00000,17.0000,12.0000,5.78283e+17,5.82901e+15,8.70000,9.63800,0.00000
2012.00,6.00000,6.00000,12.0000,6.09295e+17,1.21848e+16,8.68000,9.91400,0.00000
2012.00,7.00000,3.00000,12.0000,6.01779e+17,4.10122e+15,5.90000,9.22800,0.00000
2012.00,7.00000,19.0000,12.0000,6.47434e+17,3.99219e+15,8.22000,10.4410,0.00000
2012.00,8.00000,8.00000,12.0000,6.09562e+17,2.90751e+15,9.04000,9.83100,0.00000
2012.00,10.0000,13.0000,12.0000,6.04339e+17,1.56280e+16,7.08000,9.37200,0.00000
2012.00,11.0000,24.0000,0.00000,5.11059e+17,2.56991e+16,7.34000,8.40100,0.00000
