YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,2.00000,4.00000,0.00000,5.70786e+17,4.08492e+16,6.94000,8.66800,1.00000
2004.00,2.00000,25.0000,0.00000,4.44882e+17,1.54552e+16,8.82000,10.3840,0.00000
2004.00,3.00000,5.00000,6.00000,5.30468e+17,7.57715e+15,9.08000,11.3510,0.00000
2004.00,3.00000,10.0000,0.00000,5.28859e+17,3.07946e+16,4.28000,10.6090,0.00000
2004.00,3.00000,24.0000,0.00000,5.09860e+17,8.67333e+15,4.40000,9.25200,0.00000
2004.00,5.00000,19.0000,0.00000,6.34101e+17,1.56580e+16,6.24000,11.5210,0.00000
2004.00,6.00000,9.00000,0.00000,7.10567e+17,2.91867e+16,7.06000,9.45000,0.00000
2005.00,1.00000,19.0000,0.00000,4.23302e+17,1.18429e+16,8.82000,10.0670,0.00000
2005.00,3.00000,28.0000,0.00000,4.57922e+17,7.62257e+15,7.12000,9.44000,0.00000
2005.00,7.00000,14.0000,0.00000,5.56457e+17,7.71635e+15,7.20000,8.42600,0.00000
2005.00,8.00000,25.0000,0.00000,6.54525e+17,9.07168e+15,8.68000,10.6970,1.00000
2005.00,10.0000,12.0000,0.00000,5.89172e+17,1.24550e+16,7.24000,8.98200,1.00000
2005.00,10.0000,19.0000,0.00000,7.98328e+17,2.36059e+16,8.42000,9.58900,0.00000
2005.00,12.0000,21.0000,0.00000,6.41304e+17,3.12343e+16,5.58000,9.70900,0.00000
2006.00,3.00000,23.0000,0.00000,4.40748e+17,2.51261e+16,5.32000,9.11700,0.00000
2006.00,10.0000,18.0000,0.00000,6.72835e+17,5.57142e+15,8.20000,9.70400,0.00000
2006.00,11.0000,8.00000,0.00000,4.02045e+17,7.70996e+15,5.80000,8.28400,0.00000
2006.00,12.0000,27.0000,0.00000,6.29731e+17,8.19160e+15,7.88000,11.2640,0.00000
2007.00,3.00000,8.00000,0.00000,4.16457e+17,1.02682e+16,4.00000,8.37400,0.00000
2007.00,3.00000,14.0000,0.00000,4.59189e+17,2.74341e+16,4.56000,8.98100,0.00000
2007.00,3.00000,21.0000,0.00000,3.83801e+17,2.28314e+16,7.38000,8.03700,0.00000
2007.00,4.00000,4.00000,0.00000,5.77704e+17,1.10986e+16,11.1800,11.8890,0.00000
2007.00,4.00000,12.0000,0.00000,3.70398e+17,1.71340e+16,6.44000,6.94700,0.00000
2007.00,10.0000,24.0000,0.00000,5.23690e+17,5.73153e+15,7.00000,8.43900,0.00000
2007.00,11.0000,21.0000,0.00000,5.45354e+17,1.09961e+16,5.18000,9.32400,0.00000
2008.00,2.00000,13.0000,0.00000,3.51818e+17,1.54538e+16,5.04000,7.92700,0.00000
2008.00,3.00000,21.0000,0.00000,3.08357e+17,1.53688e+16,4.82000,6.58500,0.00000
2008.00,6.00000,4.00000,0.00000,6.45002e+17,1.71809e+16,6.76000,9.37400,0.00000
2008.00,10.0000,22.0000,0.00000,6.53122e+17,7.00464e+15,8.90000,11.2010,1.00000
