YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,1.00000,8.00000,0.00000,4.47254e+17,2.63640e+16,6.18000,8.02200,1.00000
2004.00,2.00000,2.00000,0.00000,5.13123e+17,2.64965e+16,7.28000,10.4220,0.00000
2004.00,8.00000,11.0000,0.00000,7.95339e+17,1.15428e+16,10.6000,11.2470,1.00000
2004.00,9.00000,10.0000,0.00000,9.71725e+17,1.87449e+16,11.1800,13.4790,0.00000
2005.00,1.00000,13.0000,0.00000,8.60586e+17,1.56776e+16,6.96000,14.1160,0.00000
2005.00,2.00000,3.00000,6.00000,3.75067e+17,3.13330e+16,5.12000,5.80900,0.00000
2005.00,4.00000,14.0000,6.00000,6.44599e+17,1.55736e+16,8.74000,11.8490,0.00000
2005.00,10.0000,26.0000,0.00000,9.93797e+17,3.30528e+16,8.80000,11.6420,1.00000
2005.00,11.0000,8.00000,0.00000,9.59779e+17,1.52546e+16,9.08000,10.4640,1.00000
2005.00,11.0000,17.0000,0.00000,8.58106e+17,1.93171e+16,10.4800,11.2760,1.00000
2006.00,2.00000,3.00000,0.00000,6.49535e+17,1.59731e+16,8.30000,15.8580,0.00000
2006.00,2.00000,17.0000,0.00000,7.75165e+17,2.37175e+16,7.12000,11.5040,0.00000
2006.00,2.00000,22.0000,0.00000,6.60342e+17,1.47491e+16,10.7000,13.7020,0.00000
2006.00,7.00000,20.0000,0.00000,6.48012e+17,1.49486e+16,7.38000,11.3210,0.00000
2006.00,8.00000,9.00000,0.00000,5.83983e+17,1.21691e+16,6.82000,7.68300,0.00000
2006.00,10.0000,16.0000,6.00000,8.77401e+17,1.13342e+16,7.90000,11.2300,1.00000
2007.00,1.00000,4.00000,0.00000,8.96338e+17,1.17303e+16,7.42000,12.9610,0.00000
2007.00,1.00000,12.0000,0.00000,5.55177e+17,2.56710e+16,8.72000,11.2980,0.00000
2007.00,3.00000,15.0000,0.00000,8.33262e+17,3.15401e+16,8.84000,16.5020,0.00000
2007.00,3.00000,28.0000,6.00000,6.78791e+17,1.74902e+16,13.1200,15.1720,0.00000
2007.00,4.00000,4.00000,0.00000,9.14951e+17,7.14086e+15,12.5200,14.1680,0.00000
2007.00,4.00000,13.0000,0.00000,8.15372e+17,2.34069e+16,6.66000,12.5480,0.00000
2007.00,4.00000,20.0000,0.00000,7.41911e+17,5.20519e+15,10.9200,12.1330,0.00000
2007.00,10.0000,17.0000,0.00000,1.03936e+18,1.76765e+16,10.3000,11.8310,1.00000
2007.00,10.0000,31.0000,0.00000,7.40216e+17,2.95134e+16,9.56000,10.7780,1.00000
2008.00,1.00000,18.0000,0.00000,8.52970e+17,2.13680e+16,11.6800,15.2580,0.00000
2008.00,2.00000,21.0000,0.00000,7.35785e+17,1.53128e+16,6.44000,15.3360,0.00000
2008.00,7.00000,9.00000,0.00000,7.53328e+17,1.35805e+16,6.10000,11.6670,0.00000
2008.00,11.0000,26.0000,0.00000,7.43671e+17,2.32520e+16,8.42000,9.49300,0.00000
2008.00,12.0000,3.00000,0.00000,5.43487e+17,1.11100e+16,8.20000,9.96500,0.00000
2008.00,12.0000,12.0000,0.00000,8.17786e+17,1.23234e+16,12.1000,14.2530,0.00000
2009.00,1.00000,7.00000,0.00000,8.30169e+17,1.09041e+16,13.2400,14.0380,0.00000
2009.00,1.00000,13.0000,0.00000,1.10688e+18,1.52137e+16,12.8800,13.7550,0.00000
2009.00,1.00000,14.0000,0.00000,1.00967e+18,2.38583e+16,13.1800,14.9980,0.00000
2009.00,1.00000,21.0000,0.00000,6.92115e+17,1.41509e+16,11.4400,12.0610,0.00000
2009.00,1.00000,30.0000,0.00000,1.11673e+18,1.88069e+16,7.26000,15.6040,0.00000
2009.00,7.00000,21.0000,6.00000,8.60613e+17,2.59821e+16,11.7000,13.5780,0.00000
2009.00,9.00000,16.0000,0.00000,9.00325e+17,2.08480e+16,9.26000,11.8440,1.00000
2009.00,9.00000,23.0000,6.00000,5.87149e+17,1.41261e+16,6.90000,8.63300,0.00000
